
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€550,1
Zapadni i rezidencijalni dijelovi,€428,6

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Zapadni i rezidencijalni dijelovi,€700,5
Središnji i povijesni dijelovi,€618,7
Južni i obalni dijelovi,€540,5

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Istočni i sjeverni dijelovi,€900,2
Zapadni i rezidencijalni dijelovi,€888,6
Središnji i povijesni dijelovi,€850,5
Južni i obalni dijelovi,€455,2

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Zapadni i rezidencijalni dijelovi,€1225,6
Središnji i povijesni dijelovi,€1100,2

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Zapadni i rezidencijalni dijelovi,€1500,1
Središnji i povijesni dijelovi,€1450,2
Južni i obalni dijelovi,€1000,1

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Zapadni i rezidencijalni dijelovi,€865,2
Središnji i povijesni dijelovi,€750,1
