
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Zapadni i rezidencijalni dijelovi,€375,2
Središnji i povijesni dijelovi,€332,2
Istočni i industrijski dijelovi,€265,1

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Istočni i industrijski dijelovi,€550,2
Središnji i povijesni dijelovi,€506,9

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€600,2
Zapadni i rezidencijalni dijelovi,€525,2

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Istočni i industrijski dijelovi,€850,1
Središnji i povijesni dijelovi,€825,2
Zapadni i rezidencijalni dijelovi,€766,3

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€1033,3
Zapadni i rezidencijalni dijelovi,€750,1
Istočni i industrijski dijelovi,€556,3

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Zapadni i rezidencijalni dijelovi,€1100,1
Središnji i povijesni dijelovi,€700,1
