
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Zapadni i rezidencijalni dijelovi,€450,2
Središnji i povijesni dijelovi,€341,6
Istočni i južni dijelovi,€325,6

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Istočni i južni dijelovi,€500,1
Središnji i povijesni dijelovi,€475,17
Zapadni i rezidencijalni dijelovi,€375,2

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Zapadni i rezidencijalni dijelovi,€600,3
Središnji i povijesni dijelovi,€594,18
Istočni i južni dijelovi,€400,6

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Zapadni i rezidencijalni dijelovi,€706,2
Središnji i povijesni dijelovi,€600,10
Istočni i južni dijelovi,€525,4

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Zapadni i rezidencijalni dijelovi,€1350,1
Središnji i povijesni dijelovi,€792,7
Istočni i južni dijelovi,€400,1

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€1355,14
Istočni i južni dijelovi,€760,2
Zapadni i rezidencijalni dijelovi,€500,1
