
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€525,2
Istočni i južni dijelovi,€450,2

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Zapadni i rezidencijalni dijelovi,€775,2
Središnji i povijesni dijelovi,€699,10
Sjeverni i industrijski dijelovi,€683,3
Istočni i južni dijelovi,€640,7

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€880,18
Sjeverni i industrijski dijelovi,€666,3
Istočni i južni dijelovi,€588,10
Zapadni i rezidencijalni dijelovi,€551,3

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Zapadni i rezidencijalni dijelovi,€1200,1
Sjeverni i industrijski dijelovi,€875,2
Središnji i povijesni dijelovi,€825,10
Istočni i južni dijelovi,€625,6

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Sjeverni i industrijski dijelovi,€1166,3
Središnji i povijesni dijelovi,€913,11
Zapadni i rezidencijalni dijelovi,€745,3
Istočni i južni dijelovi,€711,3

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Zapadni i rezidencijalni dijelovi,€1700,3
Istočni i južni dijelovi,€1625,4
Sjeverni i industrijski dijelovi,€1500,1
Središnji i povijesni dijelovi,€1420,4
