
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€535,84
Zapadni dijelovi,€461,41
Rezidencijalni i noviji dijelovi,€447,61
Istočni i sjeverni dijelovi,€427,12

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€639,82
Zapadni dijelovi,€628,75
Rezidencijalni i noviji dijelovi,€609,82
Istočni i sjeverni dijelovi,€483,14

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€802,98
Rezidencijalni i noviji dijelovi,€723,123
Zapadni dijelovi,€682,67
Istočni i sjeverni dijelovi,€628,20

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€887,65
Zapadni dijelovi,€845,77
Rezidencijalni i noviji dijelovi,€828,84
Istočni i sjeverni dijelovi,€790,22

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Zapadni dijelovi,€1112,59
Središnji i povijesni dijelovi,€972,81
Istočni i sjeverni dijelovi,€967,30
Rezidencijalni i noviji dijelovi,€893,68

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Zapadni dijelovi,€1530,31
Središnji i povijesni dijelovi,€1303,82
Rezidencijalni i noviji dijelovi,€1262,58
Istočni i sjeverni dijelovi,€952,10
