
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Veća gradska naselja,€420,1
Središnji dio i povijesne četvrti,€393,3
Istočni i industrijski dijelovi,€350,1

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Središnji dio i povijesne četvrti,€562,4
Veća gradska naselja,€450,2
Zapadni i rezidencijalni dijelovi,€425,2
Istočni i industrijski dijelovi,€350,2

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Istočni i industrijski dijelovi,€475,2
Zapadni i rezidencijalni dijelovi,€400,1

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Zapadni i rezidencijalni dijelovi,€600,1

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Središnji dio i povijesne četvrti,€700,2
Istočni i industrijski dijelovi,€200,1
