
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€574,17
Prigradska i ruralna područja,€537,4
Sjeverni i industrijski dijelovi,€522,9
Istočni i rezidencijalni dijelovi,€522,24
Zapadni i elitni dijelovi,€522,5
Južni i noviji dijelovi,€492,7

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Južni i noviji dijelovi,€859,16
Zapadni i elitni dijelovi,€829,27
Središnji i povijesni dijelovi,€815,49
Istočni i rezidencijalni dijelovi,€741,46
Sjeverni i industrijski dijelovi,€709,11
Prigradska i ruralna područja,€703,15

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Zapadni i elitni dijelovi,€1130,30
Južni i noviji dijelovi,€1024,43
Središnji i povijesni dijelovi,€920,48
Sjeverni i industrijski dijelovi,€875,8
Istočni i rezidencijalni dijelovi,€874,49
Prigradska i ruralna područja,€802,11

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Zapadni i elitni dijelovi,€1377,38
Južni i noviji dijelovi,€1238,37
Središnji i povijesni dijelovi,€1165,30
Prigradska i ruralna područja,€1023,19
Istočni i rezidencijalni dijelovi,€993,38
Sjeverni i industrijski dijelovi,€935,11

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Južni i noviji dijelovi,€1655,24
Zapadni i elitni dijelovi,€1478,39
Središnji i povijesni dijelovi,€1454,17
Sjeverni i industrijski dijelovi,€1075,4
Istočni i rezidencijalni dijelovi,€1010,24
Prigradska i ruralna područja,€822,9

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Zapadni i elitni dijelovi,€2030,20
Središnji i povijesni dijelovi,€1816,16
Južni i noviji dijelovi,€1803,16
Istočni i rezidencijalni dijelovi,€1356,9
Prigradska i ruralna područja,€1200,9
Sjeverni i industrijski dijelovi,€850,2
