
Average Rent for 1 - 35 m2
Neighborhood,Rent,Sample Size
Istočni i noviji dijelovi,€460,5
Središnji i povijesni dijelovi,€442,4
Zapadni i rezidencijalni dijelovi,€442,4
Južni i industrijski dijelovi,€395,2

Average Rent for 36 - 50 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€723,10
Zapadni i rezidencijalni dijelovi,€684,16
Istočni i noviji dijelovi,€658,10
Južni i industrijski dijelovi,€614,7

Average Rent for 51 - 65 m2
Neighborhood,Rent,Sample Size
Središnji i povijesni dijelovi,€921,7
Istočni i noviji dijelovi,€893,8
Zapadni i rezidencijalni dijelovi,€754,9

Average Rent for 66 - 80 m2
Neighborhood,Rent,Sample Size
Zapadni i rezidencijalni dijelovi,€1023,13
Središnji i povijesni dijelovi,€975,8
Istočni i noviji dijelovi,€933,11
Južni i industrijski dijelovi,€820,5

Average Rent for 81 - 100 m2
Neighborhood,Rent,Sample Size
Južni i industrijski dijelovi,€1200,5
Zapadni i rezidencijalni dijelovi,€1028,7
Istočni i noviji dijelovi,€1025,4
Središnji i povijesni dijelovi,€1025,4

Average Rent for 101+ m2
Neighborhood,Rent,Sample Size
Istočni i noviji dijelovi,€1833,3
Središnji i povijesni dijelovi,€1800,1
Zapadni i rezidencijalni dijelovi,€1200,8
Južni i industrijski dijelovi,€1000,1
